generator,method,alpha_level,M,KS,CvM,AD,time_seconds
HawkesExp,naive,0.01,500,0,0,0,1027.0786660999875
HawkesExp,naive,0.05,500,0,0,0,1009.5228884000098
HawkesExp,naive,0.2,500,9,8,6,1022.4187674999703
HawkesExp,khmaladze,0.01,500,8,6,4,1017.1704863000195
HawkesExp,khmaladze,0.05,500,23,23,20,1012.0576294999919
HawkesExp,khmaladze,0.2,500,90,79,75,1031.9183011000277
HawkesPL,naive,0.01,500,0,0,0,39124.459755799966
HawkesPL,naive,0.05,500,0,0,0,1180.6203759000637
HawkesPL,naive,0.2,500,6,4,7,1182.2501108000288
HawkesPL,khmaladze,0.01,500,7,8,8,1180.2361630999949
HawkesPL,khmaladze,0.05,500,19,13,15,1186.392572300043
HawkesPL,khmaladze,0.2,500,101,111,113,1190.9188886999618
HawkesMultiExp,naive,0.01,500,0,0,1,1339.185530000017
HawkesMultiExp,naive,0.05,500,0,0,4,1299.4218763998942
HawkesMultiExp,naive,0.2,500,15,9,26,1308.3134871000657
HawkesMultiExp,khmaladze,0.01,500,9,10,12,2732.434200999909
HawkesMultiExp,khmaladze,0.05,500,29,33,46,1313.3840101000387
HawkesMultiExp,khmaladze,0.2,500,116,114,136,1303.219915100024



